SKU,COST,CURRENCY,CREATED_DATE
00887753528582,231.52,USD,11/10/2023 9:20:11 PM
00887753529077,1233.69,USD,11/10/2023 9:20:10 PM
00887753529350,79.3,USD,11/10/2023 9:20:11 PM
00887753529381,79.3,USD,11/10/2023 9:20:11 PM
00887753529497,85.9,USD,11/10/2023 9:20:12 PM
00887753529510,85.9,USD,11/10/2023 9:20:11 PM
00887753529534,85.9,USD,11/10/2023 9:20:12 PM
00887753529558,85.9,USD,11/10/2023 9:20:12 PM
00887753529565,85.9,USD,11/10/2023 9:20:12 PM
00887753529596,85.9,USD,11/10/2023 9:20:12 PM
00887753529664,85.9,USD,11/10/2023 9:20:12 PM
00887753529671,85.9,USD,11/10/2023 9:20:11 PM
00887753529688,85.9,USD,11/10/2023 9:20:11 PM
00887753529725,125.47,USD,11/10/2023 9:20:12 PM
00887753529831,125.47,USD,11/10/2023 9:20:12 PM
00887753529855,125.47,USD,11/10/2023 9:20:11 PM
00887753529930,166.28,USD,11/10/2023 9:20:12 PM
00887753529992,132.07,USD,11/10/2023 9:20:12 PM
00887753530011,138.66,USD,11/10/2023 9:20:12 PM
00887753530028,138.66,USD,11/10/2023 9:20:12 PM
00887753530042,138.66,USD,11/10/2023 9:20:11 PM
00887753530080,138.66,USD,11/10/2023 9:20:12 PM
00887753530134,138.66,USD,11/10/2023 9:20:12 PM
00887753530141,138.66,USD,11/10/2023 9:20:12 PM
00887753530165,107.71,USD,11/10/2023 9:20:12 PM
00887753530172,171.64,USD,11/10/2023 9:20:11 PM
00887753530202,118.88,USD,11/10/2023 9:20:11 PM
00887753530226,118.88,USD,11/10/2023 9:20:12 PM
00887753530233,217.82,USD,11/10/2023 9:20:12 PM
00887753530264,118.88,USD,11/10/2023 9:20:12 PM
00887753530301,118.88,USD,11/10/2023 9:20:12 PM
00887753530318,118.88,USD,11/10/2023 9:20:13 PM
00887753530349,145.26,USD,11/10/2023 9:20:13 PM
00887753530370,19.28,USD,11/10/2023 9:20:11 PM
00887753530530,68.31,USD,11/10/2023 9:20:12 PM
00887753531476,761.2,USD,11/10/2023 9:20:12 PM
00887753532619,176.92,USD,11/10/2023 9:20:13 PM
00887753532855,362.42,USD,11/10/2023 9:20:12 PM
00887753532893,171.64,USD,11/10/2023 9:20:13 PM
00887753532916,171.64,USD,11/10/2023 9:20:13 PM
00887753532923,171.64,USD,11/10/2023 9:20:12 PM
00887753532947,184.84,USD,11/10/2023 9:20:12 PM
00887753532954,198.03,USD,11/10/2023 9:20:12 PM
00887753533210,828.02,USD,11/10/2023 9:20:12 PM
00887753533548,517.62,USD,11/10/2023 9:20:12 PM
00887753533968,362.42,USD,11/10/2023 9:20:12 PM
00887753533999,416.74,USD,11/10/2023 9:20:12 PM
00887753535887,565.85,USD,11/10/2023 9:20:12 PM
00887753536204,99.5,USD,11/10/2023 9:20:12 PM
00887753536211,138.66,USD,11/10/2023 9:20:12 PM
00887753536365,395.91,USD,11/10/2023 9:20:12 PM
00887753536396,204.62,USD,11/10/2023 9:20:13 PM
00887753536563,323.62,USD,11/10/2023 9:20:12 PM
00887753536587,494.34,USD,11/10/2023 9:20:13 PM
00887753536778,62.76,USD,11/10/2023 9:20:12 PM
00887753537690,796.98,USD,11/10/2023 9:20:12 PM
00887753537843,558.9,USD,11/10/2023 9:20:12 PM
00887753537898,269.76,USD,11/10/2023 9:20:13 PM
00887753537904,86.96,USD,11/10/2023 9:20:13 PM
00887753537911,70.91,USD,11/10/2023 9:20:12 PM
00887753539823,136.03,USD,11/10/2023 9:20:13 PM
00887753540188,304.27,USD,11/10/2023 9:20:13 PM
00889545092486,72.43,USD,11/10/2023 9:20:13 PM
012748600763,130.01999999999998,USD,11/10/2023 9:20:12 PM
012748881889,325.6,USD,11/10/2023 9:20:13 PM
019023087486,390.4,USD,11/10/2023 9:20:13 PM
019023888724,161.01,USD,11/10/2023 9:20:13 PM
019023910418,344.42,USD,11/10/2023 9:20:13 PM
019023910425,344.42,USD,11/10/2023 9:20:12 PM
019023975097,424.0,USD,11/10/2023 9:20:13 PM
019023977893,212.23,USD,11/10/2023 9:20:13 PM
019023977909,221.7,USD,11/10/2023 9:20:13 PM
019023978746,288.9,USD,11/10/2023 9:20:14 PM
019023979842,212.62,USD,11/10/2023 9:20:12 PM
019023979958,274.31,USD,11/10/2023 9:20:14 PM
019023979965,209.24,USD,11/10/2023 9:20:12 PM
019023981296,156.68,USD,11/10/2023 9:20:12 PM
019023982514,115.89,USD,11/10/2023 9:20:13 PM
019023982521,182.87,USD,11/10/2023 9:20:12 PM
019025003910,380.86,USD,11/10/2023 9:20:13 PM
024844196644,60.88,USD,11/10/2023 9:20:13 PM
025067016726,153.61,USD,11/10/2023 9:20:12 PM
025067017952,224.57,USD,11/10/2023 9:20:14 PM
025067030883,321.5,USD,11/10/2023 9:20:13 PM
025067031019,857.68,USD,11/10/2023 9:20:13 PM
025067033747,715.15,USD,11/10/2023 9:20:13 PM
025067054636,388.33,USD,11/10/2023 9:20:13 PM
025067056982,1457.4,USD,11/10/2023 9:20:14 PM
025067057033,21.71,USD,11/10/2023 9:20:13 PM
025067057217,59.68,USD,11/10/2023 9:20:13 PM
025067057224,59.68,USD,11/10/2023 9:20:14 PM
025067057248,514.4100000000001,USD,11/10/2023 9:20:12 PM
026149710006,662.12,USD,11/10/2023 9:20:13 PM
027067086723,143.61,USD,11/10/2023 9:20:14 PM
027067390547,150.32,USD,11/10/2023 9:20:14 PM
027067475527,237.71,USD,11/10/2023 9:20:14 PM
027067652386,464.4,USD,11/10/2023 9:20:13 PM
027067652591,104.38,USD,11/10/2023 9:20:14 PM
027067724175,238.45,USD,11/10/2023 9:20:13 PM
027067733443,200.88,USD,11/10/2023 9:20:13 PM
027067799906,150.32,USD,11/10/2023 9:20:13 PM
027067833020,572.21,USD,11/10/2023 9:20:13 PM
027067861658,177.44,USD,11/10/2023 9:20:14 PM
027067895653,141.26,USD,11/10/2023 9:20:14 PM
027067900777,142.49,USD,11/10/2023 9:20:14 PM
027067900784,142.49,USD,11/10/2023 9:20:14 PM
036584040002,338.6,USD,11/10/2023 9:20:14 PM
036584044376,224.06,USD,11/10/2023 9:20:14 PM
036584072409,24.4,USD,11/10/2023 9:20:15 PM
036584073093,439.51,USD,11/10/2023 9:20:13 PM
036584082989,340.52,USD,11/10/2023 9:20:14 PM
036584096887,67.02000000000001,USD,11/10/2023 9:20:14 PM
036584096993,76.96000000000001,USD,11/10/2023 9:20:14 PM
036584116400,96.88,USD,11/10/2023 9:20:14 PM
036584147268,737.27,USD,11/10/2023 9:20:14 PM
036584177012,781.32,USD,11/10/2023 9:20:14 PM
036584225409,536.15,USD,11/10/2023 9:20:14 PM
036584236177,216.84,USD,11/10/2023 9:20:14 PM
036584248675,474.46,USD,11/10/2023 9:20:13 PM
036584248682,474.46,USD,11/10/2023 9:20:15 PM
036584259428,1201.1,USD,11/10/2023 9:20:15 PM
036584264514,538.69,USD,11/10/2023 9:20:16 PM
036584334347,317.81,USD,11/10/2023 9:20:15 PM
036584384274,577.18,USD,11/10/2023 9:20:15 PM
036584384304,592.41,USD,11/10/2023 9:20:15 PM
036584387619,996.44,USD,11/10/2023 9:20:15 PM
036584401995,955.95,USD,11/10/2023 9:20:14 PM
036584402008,955.95,USD,11/10/2023 9:20:14 PM
036584402350,1575.33,USD,11/10/2023 9:20:14 PM
036584421757,157.84,USD,11/10/2023 9:20:14 PM
043482182857,140.28,USD,11/10/2023 9:20:14 PM
043482182895,151.0,USD,11/10/2023 9:20:14 PM
043482182901,151.0,USD,11/10/2023 9:20:15 PM
043482211113,150.51,USD,11/10/2023 9:20:14 PM
043482211182,141.4,USD,11/10/2023 9:20:14 PM
043482211199,150.51,USD,11/10/2023 9:20:15 PM
